Protokollnummer,Name,Position,Partei,Geschlecht,Jahrgang,Oberthema,Unterthema,Dreiklang
11,Matthias Miller,Abg,CDU,m,1991,Bildungspolitik,Digitalisierung Schule,3
13,Dr Albrecht Schuette,Abg,CDU,m,1970,Bildungspolitik,Hochschulen,3
14,Manuel Hagel,Abg,CDU,m,1988,Bildungspolitik,Kinder und Jugendliche,3
15,Guido Wolf,Abg,CDU,m,1961,Bildungspolitik,Hochschulen,3
19,Dr Alexander Becker,Abg,CDU,m,1972,Bildungspolitik,Schulen,3
19,Volker Schebesta,Staatssekretaer,CDU,m,1971,Bildungspolitik,Foerderung,3
32,Andreas Sturm,Abg,CDU,m,1974,Bildungspolitik,Hochschulen,3
32,Dr Alexander Becker,Abg,CDU,m,1972,Bildungspolitik,allgemein,3
32,Volker Schebesta,Staatssekretaer,CDU,m,1971,Bildungspolitik,allgemein,3
34,Dr Albrecht Schuette,Abg,CDU,m,1970,Bildungspolitik,Hochschulen,3
36,Dr Alexander Becker,Abg,CDU,m,1972,Bildungspolitik,allgemein,3
38,Thomas Doerflinger,Abg,CDU,m,1969,Bildungspolitik,duale Ausbildung,3
44,Andreas Sturm,Abg,CDU,m,1974,Bildungspolitik,Schulen,3
44,Dr Alexander Becker,Abg,CDU,m,1972,Bildungspolitik,Lehrermangel,3
45,Christiane Staab,Abg,CDU,w,1968,Bildungspolitik,Kinder und Jugendliche,3
45,Manuel Hailfinger,Abg,CDU,m,1982,Bildungspolitik,Schulen,3
50,Dr Alexander Becker,Abg,CDU,m,1972,Bildungspolitik,Schulen,3
55,Dr Alexander Becker,Abg,CDU,m,1972,Bildungspolitik,Bildungsgerechtigkeit,3
56,Dr Alexander Becker,Abg,CDU,m,1972,Bildungspolitik,G8 und G9,3
58,Andreas Sturm,Abg,CDU,m,1974,Bildungspolitik,Foerderung,3
60,Dr Matthias Miller,Abg,CDU,m,1991,Bildungspolitik,Schulen,3
62,Andreas Sturm,Abg,CDU,m,1974,Bildungspolitik,Digitalisierung Schule,3
62,Dr Alexander Becker,Abg,CDU,m,1972,Bildungspolitik,Schulen,3
62,Volker Schebesta,Staatssekretaer,CDU,m,1971,Bildungspolitik,Schulen,3
45,Volker Schebesta,Staatssekretaer,CDU ,m,1971,Bildungspolitik,Kinder und Jugendliche,3
11,Ralf Nentwich,Abg,GRUENE,m,1982,Bildungspolitik,Digitalisierung Schule,3
11,Sandra Boser,Staatssekretaerin,GRUENE,w,1976,Bildungspolitik,Digitalisierung Schule,3
13,Michael Joukov ,Abg,GRUENE,m,1981,Bildungspolitik,Hochschulen,3
13,Theresia Bauer,Ministerin,GRUENE,w,1965,Bildungspolitik,Hochschulen,3
14,Andreas Schwarz,Abg,GRUENE,m,1979,Bildungspolitik,Kinder und Jugendliche,3
14,Petra Olschowski,Staatssekretaerin,GRUENE,w,1965,Bildungspolitik,Hochschulen,3
14,Winfried Kretschmann,Ministerpraesident,GRUENE,m,1948,Bildungspolitik,Kinder und Jugendliche,3
15,Michael Joukov ,Abg,GRUENE,m,1981,Bildungspolitik,Hochschulen,3
15,Theresia Bauer,Ministerin,GRUENE,w,1965,Bildungspolitik,Hochschulen,3
19,Theresa Schopper,Ministerin,GRUENE,w,1961,Bildungspolitik,Schulen,3
19,Thomas Poreski,Abg,GRUENE,m,1963,Bildungspolitik,Schulen,3
